"id","name","location","st_asewkt"
2,"Greensboro, NC, USA","0101000020E6100000F90FE9B7AFF253C0C1C58A1A4C094240","SRID=4326;POINT(-79.791975 36.072635)"
3,"Chicago, IL, USA","0101000020E61000008445459C4EE855C07214200A66F04440","SRID=4326;POINT(-87.629798 41.878114)"
4,"Indianapolis, IN, USA","0101000020E6100000D3A23EC91D8A55C0FB928D075BE24340","SRID=4326;POINT(-86.158068 39.768403)"
5,"Corpus Christi, TX, USA","0101000020E61000005FF0694E5E5958C0CBBBEA01F3CC3B40","SRID=4326;POINT(-97.396381 27.800583)"
6,"Jackson, MS, USA","0101000020E6100000527E52EDD38B56C0BD395CAB3D264040","SRID=4326;POINT(-90.18481 32.298757)"
7,"Boise, ID, USA","0101000020E6100000889FFF1EBC0D5DC0A5DAA7E331CF4540","SRID=4326;POINT(-116.214607 43.61871)"
8,"Cleveland, OH, USA","0101000020E61000000516C094816C54C0FDC1C073EFBF4440","SRID=4326;POINT(-81.695409 41.499495)"
9,"Albuquerque, NM, USA","0101000020E6100000ADF6B0170AA75AC0D84812842B8E4140","SRID=4326;POINT(-106.609991 35.110703)"
10,"Macon, GA, USA","0101000020E610000033FB3C4679E854C09274CDE49B6B4040","SRID=4326;POINT(-83.632402 32.840695)"
11,"Norfolk, VA, USA","0101000020E6100000CD7344BE4B1253C0AEB9A3FFE56C4240","SRID=4326;POINT(-76.285873 36.850769)"
12,"Wilmington, DE, USA","0101000020E61000005BB39597FCE252C087A3AB7477DF4340","SRID=4326;POINT(-75.546667 39.745833)"
13,"Kansas City, MO, USA","0101000020E6100000DFE2E13D07A557C09CC3B5DAC38C4340","SRID=4326;POINT(-94.578567 39.099727)"
14,">Music Choice","0101000020E610000000000000000000000000000000000000","SRID=4326;POINT(0 0)"
16,"Biloxi, MS, USA","0101000020E6100000C7B8E2E2A83856C0632B685A62653E40","SRID=4326;POINT(-88.885308 30.396032)"
18,"Las Vegas, NV, USA","0101000020E610000032022A1C41CF5CC08CBAD6DEA7204240","SRID=4326;POINT(-115.238349 36.255123)"
20,"Tulsa, OK, USA","0101000020E6100000545227A089FF57C01A16A3AEB5134240","SRID=4326;POINT(-95.992775 36.153982)"
22,"Sacramento, CA, USA","0101000020E61000001DC9E53FA45F5EC0792288F3704A4340","SRID=4326;POINT(-121.4944 38.581572)"
23,"Washington, DC, USA","0101000020E6100000CEDE196D554253C06D75392520744340","SRID=4326;POINT(-77.036464 38.907231)"
24,"Oklahoma City, OK, USA","0101000020E610000047AF06280D6158C079758E01D9BB4140","SRID=4326;POINT(-97.516428 35.46756)"
25,"Dallas, TX, USA","0101000020E61000003BC3D4963A3358C09626A5A0DB634040","SRID=4326;POINT(-96.800451 32.78014)"
26,"New York, NY, USA","0101000020E61000002DEA93DC618052C056664AEB6F5B4440","SRID=4326;POINT(-74.005973 40.714353)"
28,"Lansing, MI, USA","0101000020E61000002332ACE28D2355C07216F6B4C35D4540","SRID=4326;POINT(-84.555535 42.732535)"
29,"Grand Rapids, MI, USA","0101000020E6100000973AC8EBC16A55C0252367614F7B4540","SRID=4326;POINT(-85.668086 42.96336)"
30,"Columbia, SC, USA","0101000020E610000059DC7F643A4254C0DC63E94317004140","SRID=4326;POINT(-81.034814 34.00071)"
31,"Denver, CO, USA","0101000020E61000001572A59E053F5AC0EECD6F9868DE4340","SRID=4326;POINT(-104.984718 39.737567)"
32,"Toledo, OH, USA","0101000020E61000003196E99788E354C02C499EEBFBD44440","SRID=4326;POINT(-83.555212 41.663938)"
35,"Modesto, CA, USA","0101000020E6100000850662D9CC3F5EC061FC34EECDD14240","SRID=4326;POINT(-120.996878 37.639097)"
36,"Colorado Springs, CO, USA","0101000020E61000003FC91D3691345AC08E5C37A5BC6A4340","SRID=4326;POINT(-104.821363 38.833882)"
37,"Chattanooga, TN, USA","0101000020E61000006B0E10CCD15355C0B6DB2E34D7854140","SRID=4326;POINT(-85.30968 35.04563)"
38,"Greenville, SC, USA","0101000020E61000000113B875379954C08FFD2C96226D4140","SRID=4326;POINT(-82.39401 34.852618)"
39,"Albany, NY, USA","0101000020E6100000130CE71A667052C038876BB587534540","SRID=4326;POINT(-73.756232 42.652579)"
41,"Jacksonville, FL, USA","0101000020E6100000BEA59C2FF66954C02541B8020A553E40","SRID=4326;POINT(-81.655651 30.332184)"
42,"Birmingham, AL, USA","0101000020E61000007E5704FF5BB355C0BDA60705A5C24040","SRID=4326;POINT(-86.80249 33.520661)"
43,"Riverside, CA, USA","0101000020E61000004F07B29E5A595DC050560C5707FA4040","SRID=4326;POINT(-117.396156 33.953349)"
46,"Columbus, OH, USA","0101000020E61000003A5CAB3DECBF54C09DD9AED007FB4340","SRID=4326;POINT(-82.998794 39.961176)"
52,"Bakersfield, CA, USA","0101000020E6100000A5C0029832C15DC0E1ED4108C8AF4140","SRID=4326;POINT(-119.018713 35.373292)"
53,"Milwaukee, WI, USA","0101000020E6100000282B86AB03FA55C0DFDFA0BDFA844540","SRID=4326;POINT(-87.906474 43.038902)"
54,"Houston, TX, USA","0101000020E61000000B5EF415A4D757C0ECA529029CC23D40","SRID=4326;POINT(-95.36939 29.760193)"
56,"Minneapolis, MN, USA","0101000020E6100000C2340C1F115157C0BE8575E3DD7D4640","SRID=4326;POINT(-93.26667 44.983334)"
57,"Honolulu, HI, USA","0101000020E61000007B82C47677BB63C014B4C9E1934E3540","SRID=4326;POINT(-157.858333 21.306944)"
58,"Richmond, VA, USA","0101000020E61000001EDFDE35E85B53C097900F7A36C54240","SRID=4326;POINT(-77.436048 37.540725)"
59,"Burlington, VT, USA","0101000020E61000006E197096924D52C0A6608DB3E93C4640","SRID=4326;POINT(-73.212072 44.475882)"
60,"San Francisco, CA, USA","0101000020E6100000EB1C03B2D79A5EC06ADC9BDF30E34240","SRID=4326;POINT(-122.419415 37.774929)"
62,"Los Angeles, CA, USA","0101000020E6100000A661F888988F5DC0A0DE8C9AAF064140","SRID=4326;POINT(-118.243685 34.052234)"
63,"Shreveport, LA, USA","0101000020E610000058C9C7EE027057C0E9B6442E38434040","SRID=4326;POINT(-93.750179 32.525152)"
64,"McAllen, TX, USA","0101000020E6100000016C4084B88E58C008C72C7B12343A40","SRID=4326;POINT(-98.230012 26.203407)"
